STATE,GAME_NUMBER,GAME_NAME,START_DATE,END_DATE,LAST_CLAIM_DATE,OVERALL_ODDS,PURCHASE_PRICE,TICKETS_SOLD
MA,"6 98720 00232 1","$1,000,000 Money Mania 2008",,,,4.79,$5,
MA,,"$1,000,000 Pinball Wizard 2007",,,,4.79,$5,
MA,"6 98720 00295 6","$1,000,000 Spin 2009",,,,4.78,$5,
MA,"6 98720 00197 3","$10,000,000 Hold’Em Poker 2005",,,,3.63,$10,
MA,"6 98720 00286 4","$100,000 A Year For Life 2009",,,,3.62,$10,
MA,"6 98720 00186 7","$200,000 Payday 2005",,,6/18/2010,4.79,$5,
MA,"6 98720 00223 9","$25,000 Bankroll 2008",,,,4.75,$2,
MA,"6 98720 00170 6","$5,000,000 Jackpot 2006",,,,3.63,$10,
MA,"6 98720 00214 7","$50's Galore 2010",,,,4.77,$1,
MA,"6 98720 00291 8","$5000 Payday 2009",,,,4.86,$1,
MA,"6 98720 00218 5","10X The Cash 2010",,,,4.77,$5,
MA,"6 98720 00104 1","25 Grand 2007",,,9/3/2010,4.75,$2,
MA,"6 98720 00276 5","30 Grand 2010",,,,4.75,$2,
MA,"6 98720 00268 0","5 Times Lucky 2008",,,,4.77,$5,
MA,"6 98720 00205 5","7 Come 11 2010",,,,4.86,$1,
MA,"6 98720 00258 1","Aces & Eights 2009",,,,4.75,$2,
MA,"6 98720 00206 2","Amazing 8's 2010",,,,4.86,$1,
MA,"6 98720 00179 9","Bah Humbucks 2006",,,,4.78,$5,
MA,"6 98720 00136 2","Billion Dollar Blockbuster 2007",,,,2.99,$20,
MA,"6 98720 00294 9","Billion Dollar Bonanza 2008",,,,2.99,$20,
MA,"6 98720 00121 8","Blackjack 2007",,,,4.86,$1,
MA,"6 98720 00246 8									 ","Boston Bruins 2009",,,,4.84,$2,
MA,"6 98720 00180 5","Boston Celtics Green 2006",,,6/18/2010,4.77,$5,
MA,"6 98720 00220 8","Boston Red Sox 2008",,,,2.99,$20,
MA,"6 98720 00282 6","Boston Red Sox 2009",,,,4.50,$5,
