STATE,GAME_NAME,GAME_NUMBER,PRIZE_ORDER,PRIZE,PRIZE_ODDS,TOTAL_PRIZES,REMAINING_PRIZES
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",1,"$1,000,000 ","3,024,000",10,3
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",2,"$20,000 ","144,000",210,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",3,"$10,000 ","144,000",210,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",4,"$10,000 ","144,000",210,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",5,"$10,000 ","144,000",210,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",6,"$1,000 ","36,000",840,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",7,"$1,000 ","36,000",840,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",8,"$1,000 ","48,000",630,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",9,"$1,000 ","48,000",630,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",10,"$500 ","4,800",6,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",11,"$500 ","4,800",6,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",12,"$500 ","5,760",5,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",13,"$500 ","5,760",5,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",14,"$500 ","5,760",5,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",15,"$200 ","4,500",6,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",16,"$200 ","4,500",6,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",17,"$200 ","4,500",6,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",18,"$200 ","4,500",6,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",19,"$200 ","4,800",6,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",20,"$100 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",21,"$100 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",22,"$100 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",23,"$100 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",24,"$100 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",25,"$50 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",26,"$50 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",27,"$50 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",28,"$50 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",29,"$50 ","1,500",20,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",30,"$40 ",500,60,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",31,"$40 ",500,60,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",32,"$40 ",750,40,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",33,"$40 ",750,40,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",34,"$20 ",250,120,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",35,"$20 ",250,120,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",36,"$20 ",250,120,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",37,"$20 ",250,120,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",38,"$20 ",250,120,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",39,"$10 ",37.50,806,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",40,"$10 ",37.50,806,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",41,"$10 ",37.50,806,
MA,"$1,000,000 Money Mania 2008","6 98720 00232 1",42,"$5 ",10.71,2,
MA,"$1,000,000 Pinball Wizard 2007",,1,"$1,000,000","3,024,000",10,
MA,"$1,000,000 Pinball Wizard 2007",,2,"$10,000","144,000",210,
MA,"$1,000,000 Pinball Wizard 2007",,3,"$10,000","144,000",210,
MA,"$1,000,000 Pinball Wizard 2007",,4,"$10,000","144,000",210,
MA,"$1,000,000 Pinball Wizard 2007",,5,"$1,000","14,400",2,
MA,"$1,000,000 Pinball Wizard 2007",,6,"$1,000","28,800",1,
MA,"$1,000,000 Pinball Wizard 2007",,7,"$1,000","14,400",2,
MA,"$1,000,000 Pinball Wizard 2007",,8,"$1,000","14,400",2,
MA,"$1,000,000 Pinball Wizard 2007",,9,$500,"4,800",6,
MA,"$1,000,000 Pinball Wizard 2007",,10,$500,"4,800",6,
MA,"$1,000,000 Pinball Wizard 2007",,11,$500,"5,760",5,
MA,"$1,000,000 Pinball Wizard 2007",,12,$500,"5,760",5,
MA,"$1,000,000 Pinball Wizard 2007",,13,$500,"5,760",5,
MA,"$1,000,000 Pinball Wizard 2007",,14,$200,"4,500",6,
MA,"$1,000,000 Pinball Wizard 2007",,15,$200,"4,500",6,
MA,"$1,000,000 Pinball Wizard 2007",,16,$200,"4,500",6,
MA,"$1,000,000 Pinball Wizard 2007",,17,$200,"4,500",6,
MA,"$1,000,000 Pinball Wizard 2007",,18,$200,"4,800",6,
MA,"$1,000,000 Pinball Wizard 2007",,19,$100,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,20,$100,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,21,$100,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,22,$100,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,23,$100,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,24,$50,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,25,$50,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,26,$50,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,27,$50,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,28,$50,"1,500",20,
MA,"$1,000,000 Pinball Wizard 2007",,29,$40,500,60,
MA,"$1,000,000 Pinball Wizard 2007",,30,$40,500,60,
MA,"$1,000,000 Pinball Wizard 2007",,31,$40,750,40,
MA,"$1,000,000 Pinball Wizard 2007",,32,$40,750,40,
MA,"$1,000,000 Pinball Wizard 2007",,33,$20,250,120,
MA,"$1,000,000 Pinball Wizard 2007",,34,$20,250,120,
MA,"$1,000,000 Pinball Wizard 2007",,35,$20,250,120,
