STATE,GAME_NAME,GAME_NUMBER,PRIZE_ORDER,PRIZE,PRIZE_ODDS,TOTAL_PRIZES,REMAINING_PRIZES
NY,"$1,000,000 Cash Blast",649,1,"$50,000/YR/20YRS","2,646,000.00",,
NY,"$1,000,000 Cash Blast",649,2,"$1,000","84,000.00",,
NY,"$1,000,000 Cash Blast",649,3,$500,"63,000.00",,
NY,"$1,000,000 Cash Blast",649,4,$500,"63,000.00",,
NY,"$1,000,000 Cash Blast",649,5,$250,"8,400.00",,
NY,"$1,000,000 Cash Blast",649,6,$250,"8,400.00",,
NY,"$1,000,000 Cash Blast",649,7,$250,"8,400.00",,
NY,"$1,000,000 Cash Blast",649,8,$100,"3,189.87",,
NY,"$1,000,000 Cash Blast",649,9,$100,"3,150.00",,
NY,"$1,000,000 Cash Blast",649,10,$100,"3,189.87",,
NY,"$1,000,000 Cash Blast",649,11,$100,"3,150.00",,
NY,"$1,000,000 Cash Blast",649,12,$50,"2,016.00",,
NY,"$1,000,000 Cash Blast",649,13,$50,"2,016.00",,
NY,"$1,000,000 Cash Blast",649,14,$50,"2,016.00",,
NY,"$1,000,000 Cash Blast",649,15,$50,"2,016.00",,
NY,"$1,000,000 Cash Blast",649,16,$25,133.33,,
NY,"$1,000,000 Cash Blast",649,17,$25,133.33,,
NY,"$1,000,000 Cash Blast",649,18,$25,100.00,,
NY,"$1,000,000 Cash Blast",649,19,$25,100.00,,
NY,"$1,000,000 Cash Blast",649,20,$20,100.00,,
NY,"$1,000,000 Cash Blast",649,21,$20,100.00,,
NY,"$1,000,000 Cash Blast",649,22,$20,100.00,,
NY,"$1,000,000 Cash Blast",649,23,$10,25.00,,
NY,"$1,000,000 Cash Blast",649,24,$10,22.22,,
NY,"$1,000,000 Instant Jackpot",665,1,$50K/YR/20YRS,"2,646,000.00",,
NY,"$1,000,000 Instant Jackpot",665,2,$500,"21,000.00",,
NY,"$1,000,000 Instant Jackpot",665,3,$500,"21,000.00",,
NY,"$1,000,000 Instant Jackpot",665,4,$250,"5,600.00",,
NY,"$1,000,000 Instant Jackpot",665,5,$250,"5,600.00",,
NY,"$1,000,000 Instant Jackpot",665,6,$100,"2,100.00",,
NY,"$1,000,000 Instant Jackpot",665,7,$100,"2,100.00",,
NY,"$1,000,000 Instant Jackpot",665,8,$100,"2,100.00",,
NY,"$1,000,000 Instant Jackpot",665,9,$40,777.78,,
NY,"$1,000,000 Instant Jackpot",665,10,$40,777.78,,
NY,"$1,000,000 Instant Jackpot",665,11,$40,777.78,,
NY,"$1,000,000 Instant Jackpot",665,12,$40,777.78,,
NY,"$1,000,000 Instant Jackpot",665,13,$25,200.00,,
NY,"$1,000,000 Instant Jackpot",665,14,$25,200.00,,
NY,"$1,000,000 Instant Jackpot",665,15,$25,200.00,,
NY,"$1,000,000 Instant Jackpot",665,16,$25,200.00,,
NY,"$1,000,000 Instant Jackpot",665,17,$20,100.00,,
NY,"$1,000,000 Instant Jackpot",665,18,$20,100.00,,
NY,"$1,000,000 Instant Jackpot",665,19,$20,100.00,,
NY,"$1,000,000 Instant Jackpot",665,20,$10,36.36,,
NY,"$1,000,000 Instant Jackpot",665,21,$10,30.77,,
NY,"$1,000,000 Instant Jackpot",665,22,$10,20.00,,
NY,"$30,000 Cash",662,1,"$30,000","1,587,600.00",,
NY,"$30,000 Cash",662,2,$500,"50,400.00",,
NY,"$30,000 Cash",662,3,$100,"5,727.27",,
NY,"$30,000 Cash",662,4,$100,"5,727.27",,
NY,"$30,000 Cash",662,5,$50,"3,360.00",,
NY,"$30,000 Cash",662,6,$50,"3,360.00",,
NY,"$30,000 Cash",662,7,$50,"3,360.00",,
