STATE,GAME_NUMBER,GAME_NAME,START_DATE,END_DATE,LAST_CLAIM_DATE,OVERALL_ODDS,PURCHASE_PRICE,TICKETS_SOLD
TX,1068,"$1,000,000 Gold Rush",,,,2.46,$20,
TX,1221,"$100,000 Super 7's",,,,3.87,$10,
TX,1101,"$140,000,000 Extreme Payout",,,,2.46,$50,
TX,1212,"$50,000 Cash",,,,3.87,$5,
TX,1228,"$50,000 Joker's Wild",,,,4.01,$5,
TX,1215,"$50,000 Payout",,,,3.88,$5,
TX,1224,"$50,000 Riches",,,,3.87,$5,
TX,1114,"$500,000,000 Blockbuster",,,,2.46,$20,
TX,1170,"8 Seconds Lucky",,,,4.76,$2,
TX,1268,"9's In A Line",,,,4.80,$1,
TX,1083,"Best Of 7's",,6/30/2010,12/27/2010,3.36,$7,
TX,1180,"Blackjack Showdown",,6/18/2010,12/15/2010,3.88,$5,
TX,1163,"Blazing 8's",,,,4.70,$2,
TX,1196,"Bonus Break the Bank",,,,3.87,$5,
TX,1222,"Cash Extravaganza",,,,3.87,$5,
TX,1169,"Crazy Cash",,,,4.29,$1,
TX,1264,"Find The 9's",,,,4.46,$1,
TX,1182,"Five Star Cash",,6/30/2010,12/27/2010,3.95,$5,
TX,1195,Fútbol,,,,4.72,$2,
TX,1256,"Giant Jumbo Bucks III",,,,3.72,$5,
TX,1211,"Gold Bar Bonanza",,6/13/2010,12/10/2010,3.87,$10,
TX,1227,"Great 8's",,,,4.80,$1,
TX,1255,"Jumbo Bucks III",,,,4.36,$2,
TX,1259,"Loteria Texas",,,,4.06,$3,
TX,1266,"Loteria Texas",,,,4.99,$3,
TX,1176,"Lucky 7's",,,,3.84,$7,
TX,1181,"Lucky Dog Doubler",,,,4.46,$1,
TX,1223,"Lucky Pair",,,,4.46,$1,
TX,1210,"Lucky Slots",,,,4.29,$1,
TX,1199,"Match & Win",,,,4.06,$3,
TX,1220,"Match 3 Tripler",,,,4.76,$1,
TX,1110,"Maybe It's Your Lucky Day",,,,2.75,$1,
TX,1257,"Mega Jumbo Bucks III",,,,3.40,$10,
TX,1164,"Monthly Bonus",,,,4.94,$5,
TX,1233,"Mother Lode!",,,,,$1,
TX,1219,"Platinum 8's",,,,3.87,$5,
TX,1216,"Pot O' Gold Tripler",,,,4.43,$1,
TX,1204,"Precious Pearl 7's",,,,3.84,$7,
TX,1057,"Set For Life",,,,3.87,$10,
TX,1207,"Spicy 7's",,6/30/2010,12/27/2010,4.46,$1,
TX,1209,"Super Deuces",,,,4.72,$2,
TX,1172,"Super Wild 8's",,,,3.84,$5,
TX,1213,"The Money Game",,,,4.97,$1,
TX,1159,Treasure,,,,4.76,$2,
TX,1202,"Triple It",,,,4.06,$3,
TX,1230,"Triple Payout",,,,4.99,$3,
TX,1214,"Ultimate Casino Jackpot",,,,2.46,$50,
TX,1265,"Veterans Winnings",,,,4.72,$2,
TX,1260,"Wild 10's",,,,3.87,$10,
