STATE,GAME_NAME,GAME_NUMBER,PRIZE_ORDER,PRIZE,PRIZE_ODDS,TOTAL_PRIZES,REMAINING_PRIZES
TX,"$1,000,000 Gold Rush",1068,1,"$1,000,000","1,000,000.00",3,1
TX,"$1,000,000 Gold Rush",1068,2,"$1,000","5,714.29",531,416
TX,"$1,000,000 Gold Rush",1068,3,$400,"3,000.00",1010,791
TX,"$1,000,000 Gold Rush",1068,4,$200,300.00,10194,7862
TX,"$1,000,000 Gold Rush",1068,5,$100,96.00,31872,24469
TX,"$1,000,000 Gold Rush",1068,6,$50,25.00,122388,93742
TX,"$1,000,000 Gold Rush",1068,7,$40,16.67,183392,139876
TX,"$1,000,000 Gold Rush",1068,8,$30,6.25,489177,373043
TX,"$1,000,000 Gold Rush",1068,9,$20,9.09,336375,255776
TX,"$100,000 Super 7's",1221,1,"$100,000",,6,5
TX,"$100,000 Super 7's",1221,2,"$2,500","120,000.00",35,33
TX,"$100,000 Super 7's",1221,3,"$1,000",,177,162
TX,"$100,000 Super 7's",1221,4,$500,"2,142.86",1963,1784
TX,"$100,000 Super 7's",1221,5,$200,519.48,8107,7413
TX,"$100,000 Super 7's",1221,6,$100,,64257,58665
TX,"$100,000 Super 7's",1221,7,$50,,87416,79808
TX,"$100,000 Super 7's",1221,8,$20,,587249,535263
TX,"$100,000 Super 7's",1221,9,$10,12.50,335666,304728
TX,"$140,000,000 Extreme Payout",1101,1,"$10,000,000","1,200,000.00",3,1
TX,"$140,000,000 Extreme Payout",1101,2,"$10,000","36,000.00",104,59
TX,"$140,000,000 Extreme Payout",1101,3,"$2,000","2,400.00",1543,823
TX,"$140,000,000 Extreme Payout",1101,4,$500,400.00,9275,4930
TX,"$140,000,000 Extreme Payout",1101,5,$350,600.00,6218,3316
TX,"$140,000,000 Extreme Payout",1101,6,$250,600.00,6177,3248
TX,"$140,000,000 Extreme Payout",1101,7,$240,571.43,6482,3487
TX,"$140,000,000 Extreme Payout",1101,8,$200,240.00,15462,8324
TX,"$140,000,000 Extreme Payout",1101,9,$150,179.64,20698,11009
TX,"$140,000,000 Extreme Payout",1101,10,$140,177.78,20952,11229
TX,"$140,000,000 Extreme Payout",1101,11,$100,29.85,124011,66409
TX,"$140,000,000 Extreme Payout",1101,12,$75,40.00,92845,49077
TX,"$140,000,000 Extreme Payout",1101,13,$70,6.67,556223,293911
TX,"$140,000,000 Extreme Payout",1101,14,$50,6.67,555973,293265
TX,"$50,000 Cash",1212,1,"$50,000",,7,6
TX,"$50,000 Cash",1212,2,"$5,000","354,000.00",21,16
TX,"$50,000 Cash",1212,3,"$1,000",,186,168
TX,"$50,000 Cash",1212,4,$500,"7,500.00",975,873
TX,"$50,000 Cash",1212,5,$100,,9378,8604
TX,"$50,000 Cash",1212,6,$50,,97106,88975
TX,"$50,000 Cash",1212,7,$20,,194205,178136
TX,"$50,000 Cash",1212,8,$15,33.33,218506,199032
TX,"$50,000 Cash",1212,9,$10,9.38,776802,703924
TX,"$50,000 Cash",1212,10,$5,12.50,582700,520131
TX,"$50,000 Joker's Wild",1228,1,"$50,000",,7,2
TX,"$50,000 Joker's Wild",1228,2,"$5,000","337,142.86",22,10
TX,"$50,000 Joker's Wild",1228,3,"$1,000",,248,111
TX,"$50,000 Joker's Wild",1228,4,$500,"5,000.00",1450,619
TX,"$50,000 Joker's Wild",1228,5,$100,,19578,8349
TX,"$50,000 Joker's Wild",1228,6,$50,,97169,41302
TX,"$50,000 Joker's Wild",1228,7,$20,,145812,61778
TX,"$50,000 Joker's Wild",1228,8,$15,30.00,242864,102046
TX,"$50,000 Joker's Wild",1228,9,$10,10.71,680201,282873
TX,"$50,000 Joker's Wild",1228,10,$5,11.54,631504,254778
TX,"$50,000 Payout",1215,1,$500,"5,000.00",1472,1092
TX,"$50,000 Payout",1215,2,$100,472.44,15361,11490
TX,"$50,000 Payout",1215,3,$50,80.00,91066,68180
TX,"$50,000 Payout",1215,4,$20,50.00,145679,108963
TX,"$50,000 Payout",1215,5,$15,30.00,242841,181231
TX,"$50,000 Payout",1215,6,$10,10.00,728540,541459
TX,"$50,000 Payout",1215,7,$5,10.71,679812,498958
TX,"$50,000 Riches",1224,1,"$50,000","1,011,428.57",7,3
TX,"$50,000 Riches",1224,2,"$2,000","56,640.00",130,81
TX,"$50,000 Riches",1224,3,$500,"6,205.08",1192,705
TX,"$50,000 Riches",1224,4,$100,526.32,13834,8153
TX,"$50,000 Riches",1224,5,$50,160.64,45319,26550
TX,"$50,000 Riches",1224,6,$20,25.00,290781,169993
TX,"$50,000 Riches",1224,7,$15,25.00,290754,168290
TX,"$50,000 Riches",1224,8,$10,10.71,678457,391451
TX,"$50,000 Riches",1224,9,$5,12.50,581625,332351
TX,"$500,000,000 Blockbuster",1114,1,"$2,500,000","3,360,000.00",10,4
TX,"$500,000,000 Blockbuster",1114,2,"$1,000,000","840,000.00",40,18
TX,"$500,000,000 Blockbuster",1114,3,"$25,000","120,000.00",290,132
TX,"$500,000,000 Blockbuster",1114,4,"$10,000","40,000.00",870,400
TX,"$500,000,000 Blockbuster",1114,5,"$1,000","1,500.00",23137,10355
TX,"$500,000,000 Blockbuster",1114,6,$500,750.00,46174,21018
TX,"$500,000,000 Blockbuster",1114,7,$200,222.22,155731,70852
TX,"$500,000,000 Blockbuster",1114,8,$100,41.38,836122,380918
TX,"$500,000,000 Blockbuster",1114,9,$50,50.00,692304,315224
TX,"$500,000,000 Blockbuster",1114,10,$30,25.00,1384272,629150
TX,"$500,000,000 Blockbuster",1114,11,$25,12.50,2768544,1257140
TX,"$500,000,000 Blockbuster",1114,12,$20,5.26,6575266,2954085
TX,"8 Seconds Lucky",1170,1,"$20,000","804,000.00",10,9
TX,"8 Seconds Lucky",1170,2,"$2,000","259,354.84",31,22
TX,"8 Seconds Lucky",1170,3,$200,"1,237.11",6495,4789
TX,"8 Seconds Lucky",1170,4,$50,194.17,41397,30566
TX,"8 Seconds Lucky",1170,5,$20,166.67,48150,34841
TX,"8 Seconds Lucky",1170,6,$10,71.43,112527,82234
TX,"8 Seconds Lucky",1170,7,$5,83.33,96394,65238
TX,"8 Seconds Lucky",1170,8,$4,10.87,738852,519436
TX,"8 Seconds Lucky",1170,9,$2,12.50,642744,422285
TX,"9's In A Line",1268,1,$900,"80,000.00",264,9
TX,"9's In A Line",1268,2,$199,"6,000.00",3461,189
TX,"9's In A Line",1268,3,$99,"3,582.09",5791,295
TX,"9's In A Line",1268,4,$49,800.00,25822,1386
TX,"9's In A Line",1268,5,$19,300.00,68988,3528
TX,"9's In A Line",1268,6,$9,100.00,206870,10510
TX,"9's In A Line",1268,7,$3,37.50,551524,26732
TX,"9's In A Line",1268,8,$2,15.00,1379398,64938
TX,"9's In A Line",1268,9,$1,10.00,2069060,93082
TX,"Best Of 7's",1083,1,"$75,000","1,008,000.00",5,4
TX,"Best Of 7's",1083,2,"$2,000","50,400.00",104,91
TX,"Best Of 7's",1083,3,$500,"2,666.67",1933,1769
TX,"Best Of 7's",1083,4,$100,200.00,25949,23526
TX,"Best Of 7's",1083,5,$50,80.00,64829,58841
TX,"Best Of 7's",1083,6,$20,18.75,276729,249061
TX,"Best Of 7's",1083,7,$15,25.00,207501,182422
TX,"Best Of 7's",1083,8,$10,8.33,622682,547676
TX,"Best Of 7's",1083,9,$7,15.00,345905,304617
TX,"Blackjack Showdown",1180,1,"$50,000","1,008,000.00",5,5
TX,"Blackjack Showdown",1180,2,"$5,000","265,263.16",20,15
TX,"Blackjack Showdown",1180,3,"$1,000","30,000.00",173,130
TX,"Blackjack Showdown",1180,4,$500,"7,500.00",689,554
TX,"Blackjack Showdown",1180,5,$100,869.57,5975,4654
TX,"Blackjack Showdown",1180,6,$50,75.00,69112,53868
TX,"Blackjack Showdown",1180,7,$20,37.50,138267,107482
TX,"Blackjack Showdown",1180,8,$15,33.33,155429,120331
TX,"Blackjack Showdown",1180,9,$10,9.38,552816,425551
TX,"Blackjack Showdown",1180,10,$5,12.50,414866,314946
TX,"Blazing 8's",1163,1,"$20,000","1,000,000.00",9,5
TX,"Blazing 8's",1163,2,"$1,000","30,000.00",312,180
TX,"Blazing 8's",1163,3,$500,"12,000.00",769,434
TX,"Blazing 8's",1163,4,$100,"2,926.83",3157,1720
TX,"Blazing 8's",1163,5,$50,421.05,21887,12023
TX,"Blazing 8's",1163,6,$20,83.33,110494,60245
TX,"Blazing 8's",1163,7,$10,38.46,239433,129560
TX,"Blazing 8's",1163,8,$5,62.50,147343,77713
TX,"Blazing 8's",1163,9,$4,12.50,736648,389051
TX,"Blazing 8's",1163,10,$2,13.16,699851,359127
TX,"Bonus Break the Bank",1196,1,$15,,566115,250148
TX,"Bonus Break the Bank",1196,2,$10,,1647398,723043
TX,"Bonus Break the Bank",1196,3,$5,,1441134,620874
TX,"Cash Extravaganza",1222,1,"$50,000","1,011,428.57",7,4
TX,"Cash Extravaganza",1222,2,"$5,000","442,500.00",16,13
TX,"Cash Extravaganza",1222,3,"$1,000","20,000.00",372,314
TX,"Cash Extravaganza",1222,4,$500,"2,608.70",2819,2373
TX,"Cash Extravaganza",1222,5,$200,"2,352.94",3097,2577
TX,"Cash Extravaganza",1222,6,$100,500.00,14575,12199
TX,"Cash Extravaganza",1222,7,$50,104.35,69881,58383
TX,"Cash Extravaganza",1222,8,$20,21.43,340055,282189
TX,"Cash Extravaganza",1222,9,$10,10.00,728494,597976
TX,"Cash Extravaganza",1222,10,$5,12.50,583042,475034
TX,"Crazy Cash",1169,1,"$1,000","120,000.00",87,77
TX,"Crazy Cash",1169,2,$100,"12,000.00",875,764
TX,"Crazy Cash",1169,3,$40,615.38,16905,14867
TX,"Crazy Cash",1169,4,$20,342.86,30238,26574
TX,"Crazy Cash",1169,5,$10,150.00,69215,60209
TX,"Crazy Cash",1169,6,$5,150.00,69197,59561
TX,"Crazy Cash",1169,7,$4,40.00,259076,220843
TX,"Crazy Cash",1169,8,$2,14.29,725869,602674
TX,"Crazy Cash",1169,9,$1,8.33,1244690,996973
TX,"Find The 9's",1264,1,$999,"120,000.00",175,154
TX,"Find The 9's",1264,2,$300,"48,000.00",438,369
TX,"Find The 9's",1264,3,$90,"1,889.76",10902,9773
TX,"Find The 9's",1264,4,$50,"1,600.00",12868,11189
TX,"Find The 9's",1264,5,$30,960.00,21530,18811
TX,"Find The 9's",1264,6,$19,300.00,68836,60214
TX,"Find The 9's",1264,7,$9,120.00,172051,147179
TX,"Find The 9's",1264,8,$5,85.71,240877,208855
TX,"Find The 9's",1264,9,$3,50.00,412918,353057
TX,"Find The 9's",1264,10,$2,21.43,963536,816834
TX,"Find The 9's",1264,11,$1,8.00,2580881,2134898
TX,"Five Star Cash",1182,1,"$50,000",,4,3
TX,"Five Star Cash",1182,2,"$2,000",,177,172
TX,"Five Star Cash",1182,3,$200,,1773,1725
TX,"Five Star Cash",1182,4,$100,"1,500.00",2803,2737
TX,"Five Star Cash",1182,5,$50,,55952,54654
TX,"Five Star Cash",1182,6,$25,,64467,63245
TX,"Five Star Cash",1182,7,$20,,69951,67966
TX,"Five Star Cash",1182,8,$15,75.00,55980,53742
TX,"Five Star Cash",1182,9,$10,,475625,460349
TX,"Five Star Cash",1182,10,$5,12.50,335518,320096
TX,Fútbol,1195,1,"$20,000","1,005,000.00",8,6
TX,Fútbol,1195,2,"$2,000","201,000.00",40,27
TX,Fútbol,1195,3,$200,"1,237.11",6510,4700
TX,Fútbol,1195,4,$50,217.00,37058,26757
TX,Fútbol,1195,5,$20,166.67,48209,34502
TX,Fútbol,1195,6,$10,71.43,112448,80455
TX,Fútbol,1195,7,$5,83.33,96388,66709
TX,Fútbol,1195,8,$4,10.87,739011,515441
TX,Fútbol,1195,9,$2,12.50,642723,432837
TX,"Giant Jumbo Bucks III",1256,1,"$100,000","1,008,000.00",21,3
TX,"Giant Jumbo Bucks III",1256,2,"$5,000","1,008,000.00",21,3
TX,"Giant Jumbo Bucks III",1256,3,"$1,000","17,142.86",1224,101
TX,"Giant Jumbo Bucks III",1256,4,$500,"6,315.79",3326,316
TX,"Giant Jumbo Bucks III",1256,5,$100,600.00,34560,3159
TX,"Giant Jumbo Bucks III",1256,6,$50,75.00,276797,25592
TX,"Giant Jumbo Bucks III",1256,7,$20,42.86,484377,44620
TX,"Giant Jumbo Bucks III",1256,8,$15,33.33,622811,56668
TX,"Giant Jumbo Bucks III",1256,9,$10,12.50,1660850,149245
TX,"Giant Jumbo Bucks III",1256,10,$5,8.33,2491099,217307
TX,"Gold Bar Bonanza",1211,1,"$100,000","1,008,000.00",5,5
TX,"Gold Bar Bonanza",1211,2,"$25,000","162,580.65",31,27
TX,"Gold Bar Bonanza",1211,3,"$2,500","60,000.00",88,78
TX,"Gold Bar Bonanza",1211,4,"$1,000","20,000.00",263,246
TX,"Gold Bar Bonanza",1211,5,$500,"1,481.48",3524,3282
TX,"Gold Bar Bonanza",1211,6,$200,398.67,12958,11921
TX,"Gold Bar Bonanza",1211,7,$100,70.59,73586,68332
TX,"Gold Bar Bonanza",1211,8,$50,50.00,103734,96358
TX,"Gold Bar Bonanza",1211,9,$20,7.14,726178,673886
TX,"Gold Bar Bonanza",1211,10,$10,16.67,311122,285584
TX,"Great 8's",1227,1,"$1,000","80,000.00",119,43
TX,"Great 8's",1227,2,$200,"20,000.00",463,209
TX,"Great 8's",1227,3,$100,"10,909.09",871,426
TX,"Great 8's",1227,4,$40,"4,800.00",1946,900
TX,"Great 8's",1227,5,$20,"1,200.00",7830,3615
TX,"Great 8's",1227,6,$16,600.00,15646,7194
TX,"Great 8's",1227,7,$10,200.00,47000,21594
TX,"Great 8's",1227,8,$8,100.00,93787,42709
TX,"Great 8's",1227,9,$5,150.00,62483,28190
TX,"Great 8's",1227,10,$4,33.33,281431,125314
TX,"Great 8's",1227,11,$2,12.50,750599,324383
TX,"Great 8's",1227,12,$1,13.64,688072,287951
TX,"Jumbo Bucks III",1255,1,"$50,000","1,500,000.00",21,1
TX,"Jumbo Bucks III",1255,2,"$2,000","588,235.29",53,3
TX,"Jumbo Bucks III",1255,3,$200,"1,176.47",26283,1654
TX,"Jumbo Bucks III",1255,4,$50,210.53,146821,8874
TX,"Jumbo Bucks III",1255,5,$20,166.67,185556,11046
TX,"Jumbo Bucks III",1255,6,$10,83.33,370666,21775
TX,"Jumbo Bucks III",1255,7,$5,83.33,370342,21155
TX,"Jumbo Bucks III",1255,8,$4,10.20,3027832,171854
TX,"Jumbo Bucks III",1255,9,$2,10.42,2965672,162610
TX,"Loteria Texas",1266,1,"$33,000","750,000.00",21,3
TX,"Loteria Texas",1259,1,"$33,000","504,000.00",21,20
TX,"Loteria Texas",1266,2,"$3,000","98,684.21",160,15
TX,"Loteria Texas",1259,2,"$3,000","109,565.22",96,87
TX,"Loteria Texas",1259,3,$300,"2,400.00",4328,4106
TX,"Loteria Texas",1266,3,$300,"1,967.21",7852,1066
TX,"Loteria Texas",1266,4,$80,"1,200.00",12859,1794
TX,"Loteria Texas",1259,4,$80,"1,200.00",8643,8451
TX,"Loteria Texas",1259,5,$50,"1,176.47",8830,8480
TX,"Loteria Texas",1266,5,$50,"1,176.47",13157,1837
TX,"Loteria Texas",1259,6,$33,960.00,10790,10521
TX,"Loteria Texas",1266,6,$33,960.00,16086,2196
TX,"Loteria Texas",1259,7,$30,659.34,15815,15424
TX,"Loteria Texas",1266,7,$30,659.34,23415,3243
TX,"Loteria Texas",1259,8,$20,62.50,166101,159263
TX,"Loteria Texas",1266,8,$20,62.50,247162,33158
TX,"Loteria Texas",1259,9,$17,62.50,166009,161708
TX,"Loteria Texas",1266,9,$17,62.50,247206,33626
TX,"Loteria Texas",1266,10,$10,55.56,277933,36661
TX,"Loteria Texas",1259,10,$10,55.56,186859,177869
TX,"Loteria Texas",1259,11,$7,35.71,290600,280846
TX,"Loteria Texas",1266,11,$7,35.71,432648,57601
TX,"Loteria Texas",1266,12,$4,31.25,494378,63251
TX,"Loteria Texas",1259,12,$4,31.25,332071,311948
TX,"Loteria Texas",1259,13,$3,6.94,1494558,1402109
TX,"Loteria Texas",1266,13,$3,6.94,2224602,282587
TX,"Lucky 7's",1176,1,"$70,000","1,008,000.00",5,3
TX,"Lucky 7's",1176,2,"$2,000","57,931.03",90,29
TX,"Lucky 7's",1176,3,$500,"1,967.21",2633,939
